PROPERTY_NUMBER_ID,PROPERTY_CATEGORY,PREFECTURE,CITY,NEAREST_TRAIN_LINE,NEAREST_STATION,DISTANCE_TO_NEAREST_STATION_ON_FOOT,AMOUNT/RENT,DATE_OF_CONSTRUCTION,CONSTRUCTION,OCCUPATION_AREA,TOTAL_NUMBER_OF_UNITS,LAYOUT,SIZE_OF_LOT,SIZE_OF_LOT_MEASUREMENT_METHOD,LAND_CATEGORY,CITY_PLANNING_AREA,USE_DISTRICT,LAND_OWNERSHIP,PRIVATE_ROAD,SETBACK,NUMBER_OF_CONNECTED_ROADS,STRONG_POINTS,WATER_SUPPLY,GUS_SUPPLY,DRAINAGE,PLACE_OF_WASHER,BATH,TOILET,TOILET_NOTE,STOVE_HEATING_SYSTEM,GARDEN,PARKING,FOR_OFFICE_USE,INTERIOR_CUSTOMIZABILITY,DISTANCE_TO_ELEMENTARY_SCHOOL,DISTANCE_TO_JUNIOR_HIGH_SCHOOL,DISTANCE_TO_SUPERMARKET,DISTANCE_TO_SHOPPING_DISTRICT,DISTANCE_TO_DRUG_STORE,DISTANCE_TO_HOSPITAL,FLOOR_AREA_RATIO,BUILDING_COVERAGE_RATIO,FARMLAND,RETAIL_PREMISES
9000037,賃貸居住用,山梨県,甲府市,JR中央本線,甲府,3600,100000,1967/8/1,木造,91.91,,4LK,,,,,,,無し,無し,指定なし,室内駐車場2台可,,プロパン,その他,,専用,専用,,,,近隣,,,,,,2300,,,,,無し,無し
9000059,売買居住用,大阪府,高石市,南海高師浜線,高師浜,3,36800000,1995/10/1,木造,,,9LDK,234.09,公簿,宅地,市街化区域,近隣商業地域,所有権,無し,無し,指定なし,,公営,都市ガス,下水,,,,,,,,,,,,,,,,200,60,無し,無し
9000088,売買居住用,秋田県,にかほ市,JR羽越本線,象潟,800,15000000,2002/1/1,指定なし,78.21,,,481,公簿,,都市計画区域外,,,無し,無し,指定なし,,井戸,,,,,,,,,,2900,7000,,,,1200,,,,,無し,無し
9000089,売買居住用,長崎県,南松浦郡新上五島町,,,,,1976/1/1,木造,,,5DK,,,,,,,無し,無し,指定なし,海と山に囲まれての生活が可能で、釣りが大好きな人大歓迎です！家財道具等は入居者が決まり次第、撤去いたします。,公営,プロパン,汲み取り式,室内,専用,専用,,,,無,,,,,,,,,,,無し,無し
9000091,売買居住用,長崎県,南松浦郡新上五島町,,,,,1989/1/1,RC(鉄筋コンクリート),128.94,,R,,,,,,,無し,無し,指定なし,改修必要（平成7年から空き家になりました） 改修等は、ご入居者様の負担となります。（町の改修補助金があります） 半地下の物置部屋有り,公営,プロパン,汲み取り式,室内,専用,専用,,,,無,,,,,,,,,,,無し,無し
9000109,売買居住用,奈良県,吉野郡黒滝村,近鉄吉野線,下市口,16200,1000000,1950/1/1,木造,100.56,2,4DK,549.91,公簿,宅地,非線引区域,,,無し,無し,指定なし,改修は必要ですが、ロケーション抜群の立地にある物件,公営,プロパン,浄化槽,,専用,専用,,ガス,有り,無,1800,1800,,,,21200,,,,,無し,無し
9000120,売買居住用,奈良県,吉野郡黒滝村,,,,1000000,1950/1/1,木造,159.97,,4DK,159.97,,宅地,都市計画区域外,,,無し,無し,指定なし,そばに小川が流れる風情ある古民家,その他,プロパン,汲み取り式,,無,無,,ガス,有り,空き有,1200,1000,5300,,,20500,,,,,無し,無し
9000122,賃貸居住用,奈良県,吉野郡黒滝村,近鉄吉野線,下市口,14800,20000,,指定なし,72.38,,4K,,,,,,,無し,無し,指定なし,高台にあるコンパクトな平屋物件,公営,プロパン,汲み取り式,室内,専用,専用,,ガス,有り,無,4000,4000,8100,,,,,,,,無し,無し
9000130,売買居住用,北海道,雨竜郡秩父別町,,,,,,指定なし,,,,,,,,,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9000131,売買居住用,北海道,雨竜郡秩父別町,,,,,,木造,,,,1686.73,,,,,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9000132,売買土地,北海道,雨竜郡秩父別町,,,,,,指定なし,,,,462.79,,,,,,無し,無し,指定なし,・価格要相談／・問合せは役場 企画課 まで／　TEL：0164-33-2111／売買は所有者様との話し合いとなります。,,,,,,,,,,,,,,,,,,,,,無し,無し
9000133,売買居住用,北海道,雨竜郡秩父別町,,,,5000000,,木造,,,,,,,,,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9000134,売買土地,北海道,雨竜郡秩父別町,JR留萌本線,秩父別,6,500000,,指定なし,,,,371,,,,,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9000135,売買土地,北海道,雨竜郡秩父別町,JR留萌本線,秩父別,5,1000000,,指定なし,,,,,,,,,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9000136,売買土地,北海道,雨竜郡秩父別町,JR留萌本線,秩父別,5,,,指定なし,,,,254,,,,,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9000137,売買土地,北海道,雨竜郡秩父別町,JR留萌本線,秩父別,5,,,指定なし,,,,397.17,,,,,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9000138,売買土地,北海道,雨竜郡秩父別町,JR留萌本線,秩父別,5,,,指定なし,,,,217.48,,,,,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9000139,売買居住用,北海道,雨竜郡秩父別町,JR留萌本線,秩父別,5,1800000,,木造,,,,430.5,,,,,,無し,無し,指定なし,,,,,,,,,,有り,空き有,,,,,,,,,,,無し,無し
9000140,売買土地,北海道,雨竜郡秩父別町,JR留萌本線,秩父別,4,800000,,指定なし,,,,339.32,,,,,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9000141,売買土地,北海道,雨竜郡秩父別町,,,,,,指定なし,,,,185.19,,,,,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9000142,売買居住用,奈良県,桜井市,JR桜井線,巻向,550,5200000,,木造,96.58,,5DK,173.82,,宅地,市街化調整区域,,,無し,無し,指定なし,コンパクトな戸建物件。車10分圏内にスーパー・家電量販店等揃います,公営,プロパン,その他,室内,専用,専用,非水洗　汲取り,ガス,有り,空き有,700,1500,850,2600,,1800,,2700,,,無し,無し
9000145,売買居住用,奈良県,桜井市,近鉄大阪線,大和朝倉,4100,2500000,1983/12/1,鉄骨造,157.71,,6DK,277.68,,宅地,市街化調整区域,,,無し,無し,指定なし,田舎暮らししてみませんか？,公営,プロパン,,,専用,専用,汲取り式,ガス,有り,空き有,5300,3900,,5900,,6200,,,,,無し,無し
9000151,売買居住用,奈良県,桜井市,近鉄大阪線,桜井,7700,11110000,,木造,151,,10DK,307.43,,宅地,市街化調整区域,,,無し,無し,指定なし,談山神社にほど近い自然豊かな物件,公営,,浄化槽,,専用,専用,,IH,有り,空き有,5300,5500,400,8200,,7300,,4500,,,無し,無し
9000152,売買居住用,奈良県,桜井市,近鉄大阪線,長谷寺,450,1900000,,木造,63.73,,5DK,82.64,,宅地,市街化区域,第一種住居地域,,無し,無し,指定なし,駅徒歩圏内の平屋物件,公営,プロパン,汲み取り式,室内,専用,専用,,ガス,,,800,1100,,5700,,7300,,,,,無し,無し
9000182,売買居住用,兵庫県,姫路市,,,,3000000,1930/1/1,木造,310.21,,11SDK,631.27,,,都市計画区域外,,,無し,無し,指定なし,,,プロパン,下水,,,,,,,,,,,,,,,,,,有り,無し
9000183,売買居住用,兵庫県,姫路市,,,,300000,1972/1/1,木造,99.04,,4K,107.27,,,,,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9000184,売買居住用,兵庫県,姫路市,JR山陽本線,御着,18,1450000,1918/1/1,指定なし,136.36,,R,231.4,,,市街化調整区域,,,無し,無し,指定なし,,公営,プロパン,,,無,専用,,,有り,空き無,,,,,,,,,,,無し,無し
9000187,売買居住用,兵庫県,姫路市,,,,4000000,1986/1/1,木造,154.86,,5DK,136.37,,,都市計画区域外,,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9000188,売買居住用,兵庫県,姫路市,JR播但線,溝口,,3400000,1950/1/1,木造,159,,8DK,485,,,市街化調整区域,,,無し,無し,指定なし,近隣の農地（305㎡）つき,,,,,,,,,,,,,,,,,,,200,60,有り,無し
9000189,売買居住用,兵庫県,姫路市,,,1200,4000000,1991/10/1,木造,101.43,,R,188.84,,,,,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9000194,売買居住用,兵庫県,姫路市,,,8,14800000,1973/1/1,木造,367,,9DK,536,,,市街化区域,第一種住居地域,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,200,60,無し,無し
9000195,売買居住用,兵庫県,姫路市,JR播但線,仁豊野,9,6000000,1991/1/1,木造,175.08,,6LDK,233.75,公簿,宅地,市街化調整区域,,,無し,無し,指定なし,"・既存宅地の確認を受けた建築物であるため、使用者を限定しておりません。
・家具付きで売却を希望（その場合は割引あり）",公営,,下水,,専用,専用,,,有り,空き有,,,,,,,,,,,無し,無し
9000196,売買居住用,兵庫県,姫路市,,,,500000,1978/1/1,鉄骨造,179,,6DK,249.05,,,都市計画区域外,,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9000197,売買居住用,兵庫県,姫路市,,,,500000,1974/1/1,木造,113.44,,6DK,105,,,都市計画区域外,,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9000204,売買居住用,兵庫県,姫路市,,,,3500000,1993/7/1,木造,91.79,1,3LDK,42.97,,,,,,無し,無し,指定なし,離島、見晴らし・景観良好,公営,プロパン,下水,室内,専用,専用,,,,,,,,,,,,,,,無し,無し
9000209,賃貸居住用,兵庫県,姫路市,,,660,50000,1980/1/1,木造,90,,4LDK,,,,,,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9000224,売買居住用,兵庫県,姫路市,,,,700000,1957/1/1,木造,150.47,,8DK,152,,山林,都市計画区域外,,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9000225,売買居住用,兵庫県,姫路市,山陽電鉄本線,白浜の宮,8,4000000,1967/1/1,木造,45.45,,5LDK,167.86,公簿,宅地,非線引区域,工業地域,,無し,無し,指定なし,,公営,プロパン,下水,,専用,専用,,,有り,,,,,,,,,,200,60,無し,無し
9000226,売買居住用,兵庫県,姫路市,JR山陽本線,網干,15,24800000,1978/10/1,木造,288,,11LDK,787.71,公簿,宅地,市街化区域,第二種住居地域,,無し,無し,指定なし,,公営,,下水,,専用,専用,,,有り,空き有,,,,,,,,,,,無し,無し
9000227,賃貸居住用,兵庫県,姫路市,JR山陽本線,御着,18,30000,1918/1/1,指定なし,136.36,,R,,,,,,,無し,無し,指定なし,,公営,プロパン,,,無,専用,,,有り,空き無,,,,,,,,,,,無し,無し
9000288,売買居住用,福島県,伊達市,,,,3000000,1976/1/1,木造,156.14,,7DK,1035.26,,宅地,,,,無し,無し,指定なし,,井戸,プロパン,汲み取り式,,,,汲み取り（和式・洋式）,,,空き有,4000,4000,,,,,,,,,有り,無し
9000289,売買居住用,福島県,伊達市,,,1000,2000000,1983/9/1,木造,101.63,,6K,522.52,,宅地,非線引区域,,,無し,無し,指定なし,,公営,プロパン,汲み取り式,,,,,,,,900,900,,,,,,,,,有り,無し
9000290,売買居住用,福島県,伊達市,,,160,3000000,1903/1/1,木造,170.24,,7DK,838.73,,宅地,非線引区域,,,無し,無し,指定なし,,井戸,プロパン,汲み取り式,,,,,ガス,,,3900,7100,,5700,,,,,,,有り,無し
9000291,売買居住用,福島県,伊達市,,,,1800000,1979/6/1,木造,129.25,,6DK,373,,宅地,市街化調整区域,,,無し,無し,指定なし,,公営,プロパン,その他,,,,,,,空き有,2100,1600,,,,,,,,,無し,無し
9000294,売買居住用,福島県,伊達市,,,,2000000,1926/12/1,木造,223.2,,13DK,466.11,,宅地,市街化調整区域,,,無し,無し,指定なし,,井戸,プロパン,汲み取り式,,,,,,,,3700,4200,3400,3300,3100,2600,,,,,有り,無し
9000295,売買居住用,福島県,伊達市,阿武隈急行,やながわ希望の森公園前,1300,5500000,1985/1/1,木造,136.63,,5DK,341.71,,宅地,市街化調整区域,,,無し,無し,指定なし,,公営,,浄化槽,室内,,,,IH,有り,,1500,1500,1300,1400,1000,500,2400,1200,,,無し,無し
9000312,売買居住用,福島県,伊達市,,,,15000000,,指定なし,,,R,,,,,,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9000314,売買居住用,福島県,伊達市,,,,1600000,,木造,185.09,8,7LDK,181.17,公簿,宅地,非線引区域,,,無し,無し,指定なし,,その他,プロパン,浄化槽,,,専用,,,,空き有,,,,,,,,,,,無し,無し
9000315,売買居住用,福島県,伊達市,,,,13500000,1952/4/1,木造,86.77,,3DK,305.59,公簿,宅地,市街化区域,,,無し,無し,指定なし,,公営,プロパン,下水,,,専用,,,,空き有,,,,,,,,,,,無し,無し
9000316,売買居住用,熊本県,荒尾市,JR鹿児島本線,南荒尾,170,2900000,,木造,56.19,,3DK,331.74,公簿,宅地,非線引区域,第二種低層住居専用地域,所有権,無し,無し,指定なし,"・建物増築部分あり
・付属家あり（木造スレート6.88㎡）",公営,プロパン,汲み取り式,,,,,,,,800,,,,,,,,100,60,無し,無し
9000319,売買土地,熊本県,荒尾市,JR鹿児島本線,南荒尾,900,5500000,,指定なし,,,R,483.06,公簿,宅地,非線引区域,第一種住居地域,所有権,無し,無し,指定なし,,,,,,,,,,,,800,,,,,,,,200,60,無し,無し
9000320,売買居住用,熊本県,荒尾市,JR鹿児島本線,長洲,7500,3000000,1982/1/1,木造,113.23,,5DK,753.37,,宅地,非線引区域,,所有権,無し,無し,一方,"未登記の倉庫あり
42条2項道路",井戸,プロパン,汲み取り式,,,,,,,,2000,,,,,,,,200,60,無し,無し
9000321,売買居住用,熊本県,荒尾市,,,450,3000000,1974/6/1,木造,119.63,,8DK,392.72,公簿,宅地,非線引区域,第一種住居地域,所有権,無し,無し,二方(角地),"・未登記部分あり
・近隣に駐車場あり（2台分：2,000円/月）",公営,その他,下水,,,,,,,近隣,1300,,,,,,,,200,60,無し,無し
9000324,売買居住用,熊本県,荒尾市,,,450,2000000,,木造,64.25,,R,498.71,公簿,宅地,非線引区域,第一種低層住居専用地域,所有権,無し,無し,指定なし,"・現況渡し、買主負担にて既存建物は解体撤去（建物内含
　む）、また樹木等を撤去更地とすることを条件とする。
・再建築する場合は、43条但し書き許可申請必要",公営,プロパン,下水,,,,,,,,,,,,,,,,100,60,無し,無し
9000325,売買居住用,熊本県,荒尾市,,,,6000000,1984/3/1,木造,144.77,,4LDK,336.07,公簿,宅地,非線引区域,第二種中高層住居専用地域,所有権,無し,無し,指定なし,"2024.10.1価格変更950万円⇒800万円
2024.12   価格変更800万円⇒600万円",公営,プロパン,浄化槽,室内,,,,,,,,,,,,,,,200,60,無し,無し
9000326,売買居住用,熊本県,荒尾市,,,1000,2500000,1982/9/1,木造,97.68,,4DK,391,,宅地,非線引区域,,所有権,無し,無し,一方,"・物件自体経年劣化が酷く、全体的な補修が必要
・土地の形状が歪で使いづらい、周囲との高低差があるので地　　　崩れ等の保全措置が必要",公営,プロパン,下水,,,,,,,,1700,,,,,,,,200,60,無し,無し
9000327,売買居住用,熊本県,荒尾市,JR鹿児島本線,荒尾,500,1500000,,指定なし,,,R,111.32,公簿,宅地,非線引区域,商業地域,所有権,無し,無し,一方,現況渡し,公営,,下水,,,,,,,,500,,,,,,,,400,80,無し,無し
9000330,売買居住用,熊本県,荒尾市,,,600,4500000,1988/7/1,木造,136.01,,5LDK,239.47,公簿,宅地,非線引区域,第一種住居地域,所有権,無し,無し,一方,車庫劣化あり 補修必要,公営,プロパン,下水,,,,,,,,800,,,,,1000,,,200,60,無し,無し
9000333,売買土地,熊本県,荒尾市,,,800,3000000,,指定なし,,,R,194.71,公簿,宅地,非線引区域,第一種低層住居専用地域,所有権,無し,無し,一方,"・確定測量
・建物解体更地渡し",,,,,,,,,,,3300,,,,,,,,100,50,無し,無し
9000340,売買居住用,熊本県,荒尾市,,,130,4700000,1971/7/1,木造,62.52,,4DK,300.44,公簿,宅地,非線引区域,第一種低層住居専用地域,所有権,無し,無し,二方(角地),2024.10.1価格変更500万円⇒470万円,公営,プロパン,下水,,,,,,,,500,3000,,,,,,,80,40,無し,無し
9000341,売買居住用,熊本県,荒尾市,,,,5000000,1922/1/1,木造,118.01,,5DK,1109.5,公簿,宅地,非線引区域,,所有権,無し,無し,一方,,公営,プロパン,その他,,,,,,,,200,1500,,,,5000,,,200,60,有り,無し
9000342,売買土地,熊本県,荒尾市,JR鹿児島本線,南荒尾,2100,2000000,,木造,,,DK,238.5,公簿,宅地,非線引区域,第一種低層住居専用地域,所有権,無し,無し,指定なし,建物解体更地渡し,公営,プロパン,汲み取り式,,,,,,,無,1000,3900,1400,1600,,,,,200,60,無し,無し
9000344,売買居住用,熊本県,荒尾市,,,2600,6900000,1973/9/1,木造,104.96,,7DK,691.84,公簿,宅地,非線引区域,,所有権,無し,無し,一方,"・地下水
・建物一部未登記部分あり
・他に売却希望の土地あり
・2024.8価格変更800万円⇒690万円",井戸,プロパン,汲み取り式,,,,,,,,1400,,,,,,,,200,60,無し,無し
9000345,売買居住用,熊本県,荒尾市,,,600,4500000,1975/7/1,木造,75.12,,4DK,563,公簿,宅地,非線引区域,,所有権,無し,無し,一方,価格変更　550万円⇒450万（2024.8）,公営,プロパン,,,,,,,,空き有,1000,2800,,,,5500,,,200,60,無し,無し
9000346,売買居住用,熊本県,荒尾市,,,550,4000000,1971/6/1,木造,59.55,,4DK,333.34,公簿,宅地,非線引区域,,所有権,無し,無し,指定なし,建物未登記部分あり（増築部分）,公営,その他,汲み取り式,,,,,,,,2300,,,,,,,,200,60,無し,無し
9000349,売買土地,熊本県,荒尾市,JR鹿児島本線,南荒尾,1800,3300000,,指定なし,,,R,560.64,公簿,宅地,非線引区域,第一種住居地域,所有権,無し,無し,二方(角地),価格変更 510万円⇒330万円（2024.6）,,,,,,,,,,,1000,,,,,,,,200,60,無し,無し
9000351,売買居住用,熊本県,荒尾市,,,290,5000000,1984/12/1,木造,109.49,,5DK,223.31,公簿,宅地,非線引区域,第二種中高層住居専用地域,所有権,無し,無し,指定なし,,公営,プロパン,下水,,,,,,,,3000,,,,,,,,200,60,無し,無し
9000352,売買居住用,熊本県,荒尾市,,,400,6300000,1974/11/1,木造,119.13,,4DK,294.58,公簿,宅地,非線引区域,第一種低層住居専用地域,所有権,無し,無し,指定なし,,公営,プロパン,下水,,,,,,,,1100,,,,,,,,100,50,無し,無し
9000353,売買居住用,熊本県,荒尾市,,,2800,1500000,1968/2/1,木造,128.5,,5DK,398.04,公簿,宅地,非線引区域,,所有権,無し,無し,一方,水道：地下水（地下水用ポンプ故障中、公営上水道使用の場合は引き込み工事が必要）,井戸,プロパン,汲み取り式,,,,,,,,1300,,,,,,,,200,60,無し,無し
9000355,売買居住用,熊本県,荒尾市,,,,4500000,1956/1/1,木造,61.98,,4DK,806.2,公簿,宅地,非線引区域,,所有権,無し,無し,二方(角地),2023.10価格変更　650万円⇒450万円,公営,プロパン,その他,,,,,,,,300,,,,,,,,200,60,有り,無し
9000357,売買居住用,熊本県,荒尾市,,,50,5000000,1972/1/1,木造,207,,7DK,360.14,公簿,宅地,非線引区域,第一種低層住居専用地域,所有権,無し,無し,一方,,公営,,下水,,,,,,,,600,,,,,,,,80,50,無し,無し
9000363,売買居住用,熊本県,荒尾市,,,800,3800000,1978/11/1,木造,88.6,,4DK,181.29,公簿,宅地,非線引区域,第一種低層住居専用地域,所有権,無し,無し,一方,,公営,プロパン,下水,,,,,,,,1300,,,,,,,,100,60,無し,無し
9000365,売買土地,熊本県,荒尾市,JR鹿児島本線,南荒尾,1800,5200000,,指定なし,,,R,,公簿,宅地,非線引区域,第一種住居地域,所有権,無し,無し,一方,荒尾市空家バンク第63号隣接地,,,,,,,,,,,1000,,,,,,,,200,60,無し,無し
9000366,売買土地,熊本県,荒尾市,JR鹿児島本線,南荒尾,1800,5000000,,指定なし,,,R,330,公簿,宅地,非線引区域,第一種住居地域,所有権,無し,無し,一方,荒尾市空家バンク第64号隣接地,,,,,,,,,,,1000,,,,,,,,200,60,無し,無し
9000373,売買居住用,熊本県,荒尾市,,,500,6800000,1977/1/1,木造,106.5,,4DK,869.09,公簿,宅地,非線引区域,,所有権,無し,無し,一方,,公営,プロパン,その他,,,,,,,空き有,600,,,,,,,,200,60,無し,無し
9000374,売買居住用,熊本県,荒尾市,,,,5500000,1968/6/1,木造,150.03,,4LDK,366.45,公簿,宅地,,,所有権,無し,無し,指定なし,,公営,プロパン,汲み取り式,,,,,,,,,,,,,,,,200,60,無し,無し
9000387,売買居住用,熊本県,荒尾市,JR鹿児島本線,長洲,4700,4500000,1981/1/1,木造,93.02,,4DK,304.24,公簿,宅地,,第二種低層住居専用地域,所有権,無し,無し,指定なし,,,,,,,,,,,空き有,800,500,500,500,,,,,100,60,無し,無し
9000396,売買居住用,北海道,北斗市,道南いさりび鉄道,久根別,300,4200000,1974/8/1,指定なし,80.4,,4LK,140.16,公簿,,,第一種低層住居専用地域,所有権,無し,無し,指定なし,,その他,プロパン,下水,指定なし,専用,専用,,指定なし,有り,無,600,3600,300,500,,5300,3000,,,,無し,無し
